ProductName,ReleaseDate,Build_short,Build_long
Update Rollup 26 for Exchange Server 2010 SP3,12-Feb-19,14.3.442.0,14.03.0442.000
Update Rollup 25 for Exchange Server 2010 SP3,8-Jan-19,14.3.435.0,14.03.0435.000
Update Rollup 24 for Exchange Server 2010 SP3,5-Sep-18,14.3.419.0,14.03.0419.000
Update Rollup 23 for Exchange Server 2010 SP3,13-Aug-18,14.3.417.1,14.03.0417.001
Update Rollup 22 for Exchange Server 2010 SP3,19-Jun-18,14.3.411.0,14.03.0411.000
Update Rollup 21 for Exchange Server 2010 SP3,7-May-18,14.3.399.2,14.03.0399.002
Update Rollup 20 for Exchange Server 2010 SP3,5-Mar-18,14.3.389.1,14.03.0389.001
Update Rollup 19 for Exchange Server 2010 SP3,19-Dec-17,14.3.382.0,14.03.0382.000
Update Rollup 18 for Exchange Server 2010 SP3,11-Jul-17,14.3.361.1,14.03.0361.001
Update Rollup 17 for Exchange Server 2010 SP3,21-Mar-17,14.3.352.0,14.03.0352.000
Update Rollup 16 for Exchange Server 2010 SP3,13-Dec-16,14.3.336.0,14.03.0336.000
Update Rollup 15 for Exchange Server 2010 SP3,20-Sep-16,14.3.319.2,14.03.0319.002
Update Rollup 14 for Exchange Server 2010 SP3,21-Jun-16,14.3.301.0,14.03.0301.000
Update Rollup 13 for Exchange Server 2010 SP3,15-Mar-16,14.3.294.0,14.03.0294.000
Update Rollup 12 for Exchange Server 2010 SP3,15-Dec-15,14.3.279.2,14.03.0279.002
Update Rollup 11 for Exchange Server 2010 SP3,15-Sep-15,14.3.266.2,14.03.0266.002
Update Rollup 10 for Exchange Server 2010 SP3,17-Jun-15,14.3.248.2,14.03.0248.002
Update Rollup 9 for Exchange Server 2010 SP3,17-Mar-15,14.3.235.1,14.03.0235.001
Update Rollup 8 v2 for Exchange Server 2010 SP3,12-Dec-14,14.3.224.2,14.03.0224.002
Update Rollup 8 v1 for Exchange Server 2010 SP3 (recalled),9-Dec-14,14.3.224.1,14.03.0224.001
Update Rollup 7 for Exchange Server 2010 SP3,26-Aug-14,14.3.210.2,14.03.0210.002
Update Rollup 6 for Exchange Server 2010 SP3,27-May-14,14.3.195.1,14.03.0195.001
Update Rollup 5 for Exchange Server 2010 SP3,24-Feb-14,14.3.181.6,14.03.0181.006
Update Rollup 4 for Exchange Server 2010 SP3,9-Dec-13,14.3.174.1,14.03.0174.001
Update Rollup 3 for Exchange Server 2010 SP3,25-Nov-13,14.3.169.1,14.03.0169.001
Update Rollup 2 for Exchange Server 2010 SP3,8-Aug-13,14.3.158.1,14.03.0158.001
Update Rollup 1 for Exchange Server 2010 SP3,29-May-13,14.3.146.0,14.03.0146.000
Exchange Server 2010 SP3,12-Feb-13,14.3.123.4,14.03.0123.004
Update Rollup 8 for Exchange Server 2010 SP2,9-Dec-13,14.2.390.3,14.02.0390.003
Update Rollup 7 for Exchange Server 2010 SP2,3-Aug-13,14.2.375.0,14.02.0375.000
Update Rollup 6 Exchange Server 2010 SP2,12-Feb-13,14.2.342.3,14.02.0342.003
Update Rollup 5 v2 for Exchange Server 2010 SP2,10-Dec-12,14.2.328.10,14.02.0328.010
Update Rollup 5 for Exchange Server 2010 SP2,13-Nov-12,14.3.328.5,14.03.0328.005
Update Rollup 4 v2 for Exchange Server 2010 SP2,9-Oct-12,14.2.318.4,14.02.0318.004
Update Rollup 4 for Exchange Server 2010 SP2,13-Aug-12,14.2.318.2,14.02.0318.002
Update Rollup 3 for Exchange Server 2010 SP2,29-May-12,14.2.309.2,14.02.0309.002
Update Rollup 2 for Exchange Server 2010 SP2,16-Apr-12,14.2.298.4,14.02.0298.004
Update Rollup 1 for Exchange Server 2010 SP2,13-Feb-12,14.2.283.3,14.02.0283.003
Exchange Server 2010 SP2,4-Dec-11,14.2.247.5,14.02.0247.005
Update Rollup 8 for Exchange Server 2010 SP1,10-Dec-12,14.1.438.0,14.01.0438.000
Update Rollup 7 v3 for Exchange Server 2010 SP1,13-Nov-12,14.1.421.3,14.01.0421.003
Update Rollup 7 v2 for Exchange Server 2010 SP1,10-Oct-12,14.1.421.2,14.01.0421.002
Update Rollup 7 for Exchange Server 2010 SP1,8-Aug-12,14.1.421.0,14.01.0421.000
Update Rollup 6 for Exchange Server 2010 SP1,27-Oct-11,14.1.355.2,14.01.0355.002
Update Rollup 5 for Exchange Server 2010 SP1,23-Aug-11,14.1.339.1,14.01.0339.001
Update Rollup 4 for Exchange Server 2010 SP1,27-Jul-11,14.1.323.6,14.01.0323.006
Update Rollup 3 for Exchange Server 2010 SP1,6-Apr-11,14.1.289.7,14.01.0289.007
Update Rollup 2 for Exchange Server 2010 SP1,9-Dec-10,14.1.270.1,14.01.0270.001
Update Rollup 1 for Exchange Server 2010 SP1,4-Oct-10,14.1.255.2,14.01.0255.002
Exchange Server 2010 SP1,23-Aug-10,14.1.218.15,14.01.0218.015
Update Rollup 5 for Exchange Server 2010,13-Dec-10,14.0.726.0,14.00.0726.000
Update Rollup 4 for Exchange Server 2010,10-Jun-10,14.0.702.1,14.00.0702.001
Update Rollup 3 for Exchange Server 2010,13-Apr-10,14.0.694.0,14.00.0694.000
Update Rollup 2 for Exchange Server 2010,4-Mar-10,14.0.689.0,14.00.0689.000
Update Rollup 1 for Exchange Server 2010,9-Dec-09,14.0.682.1,14.00.0682.001
Exchange Server 2010 RTM,9-Nov-09,14.0.639.21,14.00.0639.021
